Pcp_File_Version=2
*** BLOCK H: DOMAIN INFORMATION ******************************************************
Number of Solutes   Equilibrium
        1    1
Nodal Information
         n   Code          h              Q    M     Beta      Axz      Bxz      Dxz        Temp   Conc(1..NS)   
       480      0     490.236             0    1        0        1        1        1          20             0 
       481      0     494.156             0    1        0        1        1        1          20             0 
       482      0     491.431             0    1        0        1        1        1          20             0 
       483      0     494.377             0    1        0        1        1        1          20             0 
       484      0     496.161             0    1        0        1        1        1          20             0 
       485      0     493.153             0    1        0        1        1        1          20             0 
       486      0     495.531             0    1        0        1        1        1          20             0 
       487      0     492.312             0    1        0        1        1        1          20             0 
       488      0     495.084             0    1        0        1        1        1          20             0 
       489      0     490.995             0    1        0        1        1        1          20             0 
       490      0     493.297             0    1        0        1        1        1          20             0 
       491      0     487.493             0    1        0        1        1        1          20             0 
       492      0     493.529             0    1        0        1        1        1          20             0 
       493      0     491.371             0    1        0        1        1        1          20             0 
       494      0     487.123             0    1        0        1        1        1          20             0 
       495      0       495.8             0    1        0        1        1        1          20             0 
       496      0     482.842             0    1        0        1        1        1          20             0 
       497      0     489.903             0    1        0        1        1        1          20             0 
       498      0     494.445             0    1        0        1        1        1          20             0 
       499      0     484.208             0    1        0        1        1        1          20             0 
       500      0     483.168             0    1        0        1        1        1          20             0 
       501      0     496.294             0    1        0        1        1        1          20             0 
       502      0     488.465             0    1        0        1        1        1          20             0 
       503      0      492.04             0    1        0        1        1        1          20             0 
       504      0     490.775             0    1        0        1        1        1          20             0 
       505      0     497.661             0    1        0        1        1        1          20             0 
       506      0     490.914             0    1        0        1        1        1          20             0 
       507      0     494.915             0    1        0        1        1        1          20             0 
       508      0     493.205             0    1        0        1        1        1          20             0 
       509      0     497.989             0    1        0        1        1        1          20             0 
       510      0     495.292             0    1        0        1        1        1          20             0 
       511      0     497.635             0    1        0        1        1        1          20             0 
       512      0      495.58             0    1        0        1        1        1          20             0 
       513      0     498.644             0    1        0        1        1        1          20             0 
       514      0     498.104             0    1        0        1        1        1          20             0 
       515      0     490.236             0    1        0        1        1        1          20             0 
       516      0     479.207             0    1        0        1        1        1          20             0 
       517      0     437.266             0    1        0        1        1        1          20             0 
       518      0     429.748             0    1        0        1        1        1          20             0 
       519      0     483.181             0    1        0        1        1        1          20             0 
       520      0     482.756             0    1        0        1        1        1          20             0 
       521      0     481.663             0    1        0        1        1        1          20             0 
       522      0     477.968             0    1        0        1        1        1          20             0 
       523      0     472.836             0    1        0        1        1        1          20             0 
       524      0     468.977             0    1        0        1        1        1          20             0 
       525      0     469.578             0    1        0        1        1        1          20             0 
       526      0     467.271             0    1        0        1        1        1          20             0 
       527      0     465.373             0    1        0        1        1        1          20             0 
       528      0     463.029             0    1        0        1        1        1          20             0 
       529      0     461.482             0    1        0        1        1        1          20             0 
       530      0     455.871             0    1        0        1        1        1          20             0 
       531      0     454.644             0    1        0        1        1        1          20             0 
       532      0     453.763             0    1        0        1        1        1          20             0 
       533      0     453.246             0    1        0        1        1        1          20             0 
       534      0     447.626             0    1        0        1        1        1          20             0 
       535      0     443.528             0    1        0        1        1        1          20             0 
       536      0     446.485             0    1        0        1        1        1          20             0 
       537      0     442.802             0    1        0        1        1        1          20             0 
       538      0     437.782             0    1        0        1        1        1          20             0 
       539      0     433.804             0    1        0        1        1        1          20             0 
       540      0     428.942             0    1        0        1        1        1          20             0 
       541      0     423.412             0    1        0        1        1        1          20             0 
       542      0     426.252             0    1        0        1        1        1          20             0 
       543      0     420.705             0    1        0        1        1        1          20             0 
       544      0     420.517             0    1        0        1        1        1          20             0 
       545      0      423.81             0    1        0        1        1        1          20             0 
       546      0     424.213             0    1        0        1        1        1          20             0 
       547      0     420.258             0    1        0        1        1        1          20             0 
       548      0     420.106             0    1        0        1        1        1          20             0 
       549      0      420.57             0    1        0        1        1        1          20             0 
       550      0     424.244             0    1        0        1        1        1          20             0 
       551      0     421.271             0    1        0        1        1        1          20             0 
       552      0     432.071             0    1        0        1        1        1          20             0 
       553      0     435.255             0    1        0        1        1        1          20             0 
       554      0     437.092             0    1        0        1        1        1          20             0 
       555      0     442.497             0    1        0        1        1        1          20             0 
       556      0     443.946             0    1        0        1        1        1          20             0 
       557      0     446.764             0    1        0        1        1        1          20             0 
       558      0     451.311             0    1        0        1        1        1          20             0 
       559      0      451.05             0    1        0        1        1        1          20             0 
       560      0     453.111             0    1        0        1        1        1          20             0 
       561      0     457.824             0    1        0        1        1        1          20             0 
       562      0     459.062             0    1        0        1        1        1          20             0 
       563      0     458.526             0    1        0        1        1        1          20             0 
       564      0     460.972             0    1        0        1        1        1          20             0 
       565      0     465.451             0    1        0        1        1        1          20             0 
       566      0     466.304             0    1        0        1        1        1          20             0 
       567      0     466.793             0    1        0        1        1        1          20             0 
       568      0     472.233             0    1        0        1        1        1          20             0 
       569      0     475.497             0    1        0        1        1        1          20             0 
       570      0     473.276             0    1        0        1        1        1          20             0 
       571      0     482.091             0    1        0        1        1        1          20             0 
       572      0     482.184             0    1        0        1        1        1          20             0 
       573      0     494.665             0    1        0        1        1        1          20             0 
       574      0     497.173             0    1        0        1        1        1          20             0 
       575      0     497.322             0    1        0        1        1        1          20             0 
       576      0     493.948             0    1        0        1        1        1          20             0 
       577      0     492.465             0    1        0        1        1        1          20             0 
       578      0     497.368             0    1        0        1        1        1          20             0 
       579      0     497.318             0    1        0        1        1        1          20             0 
       580      0     494.645             0    1        0        1        1        1          20             0 
       581      0     497.554             0    1        0        1        1        1          20             0 
       582      0     493.644             0    1        0        1        1        1          20             0 
       583      0     477.268             0    1        0        1        1        1          20             0 
       584      0     434.052             0    1        0        1        1        1          20             0 
       585      0     491.941             0    1        0        1        1        1          20             0 
       586      0     494.567             0    1        0        1        1        1          20             0 
       587      0     485.943             0    1        0        1        1        1          20             0 
       588      0     487.909             0    1        0        1        1        1          20             0 
       589      0     492.104             0    1        0        1        1        1          20             0 
       590      0     483.444             0    1        0        1        1        1          20             0 
       591      0     480.521             0    1        0        1        1        1          20             0 
       592      0     487.572             0    1        0        1        1        1          20             0 
       593      0     477.237             0    1        0        1        1        1          20             0 
       594      0     472.055             0    1        0        1        1        1          20             0 
       595      0     467.378             0    1        0        1        1        1          20             0 
       596      0     474.015             0    1        0        1        1        1          20             0 
       597      0     466.402             0    1        0        1        1        1          20             0 
       598      0     464.506             0    1        0        1        1        1          20             0 
       599      0     466.679             0    1        0        1        1        1          20             0 
       600      0     463.933             0    1        0        1        1        1          20             0 
       601      0     468.789             0    1        0        1        1        1          20             0 
       602      0      464.89             0    1        0        1        1        1          20             0 
       603      0      462.79             0    1        0        1        1        1          20             0 
       604      0     462.731             0    1        0        1        1        1          20             0 
       605      0      460.14             0    1        0        1        1        1          20             0 
       606      0     457.257             0    1        0        1        1        1          20             0 
       607      0     458.831             0    1        0        1        1        1          20             0 
       608      0     456.314             0    1        0        1        1        1          20             0 
       609      0     453.928             0    1        0        1        1        1          20             0 
       610      0     451.885             0    1        0        1        1        1          20             0 
       611      0     450.908             0    1        0        1        1        1          20             0 
       612      0     450.927             0    1        0        1        1        1          20             0 
       613      0     451.636             0    1        0        1        1        1          20             0 
       614      0     444.656             0    1        0        1        1        1          20             0 
       615      0     443.838             0    1        0        1        1        1          20             0 
       616      0      442.01             0    1        0        1        1        1          20             0 
       617      0     438.284             0    1        0        1        1        1          20             0 
       618      0     443.848             0    1        0        1        1        1          20             0 
       619      0     429.968             0    1        0        1        1        1          20             0 
       620      0     441.219             0    1        0        1        1        1          20             0 
       621      0     431.215             0    1        0        1        1        1          20             0 
       622      0     438.254             0    1        0        1        1        1          20             0 
       623      0     429.973             0    1        0        1        1        1          20             0 
       624      0     433.538             0    1        0        1        1        1          20             0 
       625      0     422.538             0    1        0        1        1        1          20             0 
       626      0     424.123             0    1        0        1        1        1          20             0 
       627      0      420.96             0    1        0        1        1        1          20             0 
       628      0     431.255             0    1        0        1        1        1          20             0 
       629      0     429.325             0    1        0        1        1        1          20             0 
       630      0     432.867             0    1        0        1        1        1          20             0 
       631      0      424.16             0    1        0        1        1        1          20             0 
       632      0      432.86             0    1        0        1        1        1          20             0 
       633      0     427.226             0    1        0        1        1        1          20             0 
       634      0     431.531             0    1        0        1        1        1          20             0 
       635      0     431.445             0    1        0        1        1        1          20             0 
       636      0     422.603             0    1        0        1        1        1          20             0 
       637      0     429.417             0    1        0        1        1        1          20             0 
       638      0     425.568             0    1        0        1        1        1          20             0 
       639      0     428.032             0    1        0        1        1        1          20             0 
       640      0     426.574             0    1        0        1        1        1          20             0 
       641      0     430.087             0    1        0        1        1        1          20             0 
       642      0     425.736             0    1        0        1        1        1          20             0 
       643      0      427.92             0    1        0        1        1        1          20             0 
       644      0      433.16             0    1        0        1        1        1          20             0 
       645      0     427.943             0    1        0        1        1        1          20             0 
       646      0     432.977             0    1        0        1        1        1          20             0 
       647      0     434.558             0    1        0        1        1        1          20             0 
       648      0     436.218             0    1        0        1        1        1          20             0 
       649      0     434.223             0    1        0        1        1        1          20             0 
       650      0     446.756             0    1        0        1        1        1          20             0 
       651      0     439.447             0    1        0        1        1        1          20             0 
       652      0     445.102             0    1        0        1        1        1          20             0 
       653      0     445.416             0    1        0        1        1        1          20             0 
       654      0     449.703             0    1        0        1        1        1          20             0 
       655      0     445.735             0    1        0        1        1        1          20             0 
       656      0     450.377             0    1        0        1        1        1          20             0 
       657      0     449.754             0    1        0        1        1        1          20             0 
       658      0     452.682             0    1        0        1        1        1          20             0 
       659      0     455.002             0    1        0        1        1        1          20             0 
       660      0     453.277             0    1        0        1        1        1          20             0 
       661      0     458.579             0    1        0        1        1        1          20             0 
       662      0     458.858             0    1        0        1        1        1          20             0 
       663      0      460.53             0    1        0        1        1        1          20             0 
       664      0     460.982             0    1        0        1        1        1          20             0 
       665      0     464.185             0    1        0        1        1        1          20             0 
       666      0     465.944             0    1        0        1        1        1          20             0 
       667      0     465.294             0    1        0        1        1        1          20             0 
       668      0     467.213             0    1        0        1        1        1          20             0 
       669      0     468.024             0    1        0        1        1        1          20             0 
       670      0     468.936             0    1        0        1        1        1          20             0 
       671      0     469.909             0    1        0        1        1        1          20             0 
       672      0     473.375             0    1        0        1        1        1          20             0 
       673      0     471.436             0    1        0        1        1        1          20             0 
       674      0     472.585             0    1        0        1        1        1          20             0 
       675      0      477.39             0    1        0        1        1        1          20             0 
       676      0     482.552             0    1        0        1        1        1          20             0 
       677      0     476.738             0    1        0        1        1        1          20             0 
       678      0     482.397             0    1        0        1        1        1          20             0 
       679      0     480.133             0    1        0        1        1        1          20             0 
       680      0     486.159             0    1        0        1        1        1          20             0 
       681      0     487.089             0    1        0        1        1        1          20             0 
       682      0     487.185             0    1        0        1        1        1          20             0 
       683      0     490.242             0    1        0        1        1        1          20             0 
       684      0      491.15             0    1        0        1        1        1          20             0 
       685      0     490.043             0    1        0        1        1        1          20             0 
       686      0     495.123             0    1        0        1        1        1          20             0 
       687      0     495.098             0    1        0        1        1        1          20             0 
       688      0     491.884             0    1        0        1        1        1          20             0 
       689      0      485.97             0    1        0        1        1        1          20             0 
       690      0     494.462             0    1        0        1        1        1          20             0 
       691      0     483.704             0    1        0        1        1        1          20             0 
       692      0     486.066             0    1        0        1        1        1          20             0 
       693      0     497.514             0    1        0        1        1        1          20             0 
       694      0      485.41             0    1        0        1        1        1          20             0 
       695      0     483.396             0    1        0        1        1        1          20             0 
       696      0     494.978             0    1        0        1        1        1          20             0 
       697      0     489.389             0    1        0        1        1        1          20             0 
       698      0     493.128             0    1        0        1        1        1          20             0 
       699      0     491.599             0    1        0        1        1        1          20             0 
       700      0     490.278             0    1        0        1        1        1          20             0 
       701      0      493.86             0    1        0        1        1        1          20             0 
       702      0     490.349             0    1        0        1        1        1          20             0 
       703      0     480.537             0    1        0        1        1        1          20             0 
       704      0     436.076             0    1        0        1        1        1          20             0 
       705      0     429.538             0    1        0        1        1        1          20             0 
       706      0     484.534             0    1        0        1        1        1          20             0 
       707      0     482.885             0    1        0        1        1        1          20             0 
       708      0     482.044             0    1        0        1        1        1          20             0 
       709      0     480.856             0    1        0        1        1        1          20             0 
       710      0     481.729             0    1        0        1        1        1          20             0 
       711      0     479.159             0    1        0        1        1        1          20             0 
       712      0     475.815             0    1        0        1        1        1          20             0 
       713      0     476.803             0    1        0        1        1        1          20             0 
       714      0     474.952             0    1        0        1        1        1          20             0 
       715      0     472.842             0    1        0        1        1        1          20             0 
       716      0     471.606             0    1        0        1        1        1          20             0 
       717      0     468.996             0    1        0        1        1        1          20             0 
       718      0     470.883             0    1        0        1        1        1          20             0 
       719      0     474.191             0    1        0        1        1        1          20             0 
       720      0     472.932             0    1        0        1        1        1          20             0 
       721      0     465.683             0    1        0        1        1        1          20             0 
       722      0     463.875             0    1        0        1        1        1          20             0 
       723      0     464.355             0    1        0        1        1        1          20             0 
       724      0     465.966             0    1        0        1        1        1          20             0 
       725      0     461.233             0    1        0        1        1        1          20             0 
       726      0      459.71             0    1        0        1        1        1          20             0 
       727      0     457.096             0    1        0        1        1        1          20             0 
       728      0     454.265             0    1        0        1        1        1          20             0 
       729      0     454.723             0    1        0        1        1        1          20             0 
       730      0     456.942             0    1        0        1        1        1          20             0 
       731      0     456.813             0    1        0        1        1        1          20             0 
       732      0     452.601             0    1        0        1        1        1          20             0 
       733      0     448.913             0    1        0        1        1        1          20             0 
       734      0      448.53             0    1        0        1        1        1          20             0 
       735      0     447.637             0    1        0        1        1        1          20             0 
       736      0     448.428             0    1        0        1        1        1          20             0 
       737      0     445.708             0    1        0        1        1        1          20             0 
       738      0     444.851             0    1        0        1        1        1          20             0 
       739      0     442.429             0    1        0        1        1        1          20             0 
       740      0     439.481             0    1        0        1        1        1          20             0 
       741      0     440.661             0    1        0        1        1        1          20             0 
       742      0     438.122             0    1        0        1        1        1          20             0 
       743      0     435.447             0    1        0        1        1        1          20             0 
       744      0     435.124             0    1        0        1        1        1          20             0 
       745      0     435.241             0    1        0        1        1        1          20             0 
       746      0     421.463             0    1        0        1        1        1          20             0 
       747      0     420.673             0    1        0        1        1        1          20             0 
       748      0     425.355             0    1        0        1        1        1          20             0 
       749      0     425.508             0    1        0        1        1        1          20             0 
       750      0     421.978             0    1        0        1        1        1          20             0 
       751      0     424.487             0    1        0        1        1        1          20             0 
       752      0     421.699             0    1        0        1        1        1          20             0 
       753      0      420.86             0    1        0        1        1        1          20             0 
       754      0     420.582             0    1        0        1        1        1          20             0 
       755      0     420.208             0    1        0        1        1        1          20             0 
       756      0      421.21             0    1        0        1        1        1          20             0 
       757      0      424.41             0    1        0        1        1        1          20             0 
       758      0     419.912             0    1        0        1        1        1          20             0 
       759      0     419.976             0    1        0        1        1        1          20             0 
       760      0     422.235             0    1        0        1        1        1          20             0 
       761      0       423.7             0    1        0        1        1        1          20             0 
       762      0     421.352             0    1        0        1        1        1          20             0 
       763      0     421.987             0    1        0        1        1        1          20             0 
       764      0      424.23             0    1        0        1        1        1          20             0 
       765      0     426.758             0    1        0        1        1        1          20             0 
       766      0     432.358             0    1        0        1        1        1          20             0 
       767      0     434.806             0    1        0        1        1        1          20             0 
       768      0     433.552             0    1        0        1        1        1          20             0 
       769      0     435.672             0    1        0        1        1        1          20             0 
       770      0     436.419             0    1        0        1        1        1          20             0 
       771      0     436.239             0    1        0        1        1        1          20             0 
       772      0     438.176             0    1        0        1        1        1          20             0 
       773      0     438.114             0    1        0        1        1        1          20             0 
       774      0     438.978             0    1        0        1        1        1          20             0 
       775      0     440.099             0    1        0        1        1        1          20             0 
       776      0     440.847             0    1        0        1        1        1          20             0 
       777      0     441.305             0    1        0        1        1        1          20             0 
       778      0     443.794             0    1        0        1        1        1          20             0 
       779      0      443.56             0    1        0        1        1        1          20             0 
       780      0     440.008             0    1        0        1        1        1          20             0 
       781      0     445.495             0    1        0        1        1        1          20             0 
       782      0     448.211             0    1        0        1        1        1          20             0 
       783      0     451.744             0    1        0        1        1        1          20             0 
       784      0     451.147             0    1        0        1        1        1          20             0 
       785      0     447.652             0    1        0        1        1        1          20             0 
       786      0     447.853             0    1        0        1        1        1          20             0 
       787      0     454.873             0    1        0        1        1        1          20             0 
       788      0     456.634             0    1        0        1        1        1          20             0 
       789      0     456.188             0    1        0        1        1        1          20             0 
       790      0     460.182             0    1        0        1        1        1          20             0 
       791      0     459.199             0    1        0        1        1        1          20             0 
       792      0     456.101             0    1        0        1        1        1          20             0 
       793      0     455.624             0    1        0        1        1        1          20             0 
       794      0     462.271             0    1        0        1        1        1          20             0 
       795      0     461.699             0    1        0        1        1        1          20             0 
       796      0     465.449             0    1        0        1        1        1          20             0 
       797      0     464.839             0    1        0        1        1        1          20             0 
       798      0     464.011             0    1        0        1        1        1          20             0 
       799      0     461.162             0    1        0        1        1        1          20             0 
       800      0     466.889             0    1        0        1        1        1          20             0 
       801      0     467.982             0    1        0        1        1        1          20             0 
       802      0     470.702             0    1        0        1        1        1          20             0 
       803      0     471.195             0    1        0        1        1        1          20             0 
       804      0     473.146             0    1        0        1        1        1          20             0 
       805      0     470.604             0    1        0        1        1        1          20             0 
       806      0     474.741             0    1        0        1        1        1          20             0 
       807      0      474.88             0    1        0        1        1        1          20             0 
       808      0     477.661             0    1        0        1        1        1          20             0 
       809      0     478.599             0    1        0        1        1        1          20             0 
       810      0     479.219             0    1        0        1        1        1          20             0 
       811      0     480.937             0    1        0        1        1        1          20             0 
       812      0     481.559             0    1        0        1        1        1          20             0 
       813      0     484.174             0    1        0        1        1        1          20             0 
       814      0     496.579             0    1        0        1        1        1          20             0 
       815      0     494.199             0    1        0        1        1        1          20             0 
       816      0     496.639             0    1        0        1        1        1          20             0 
       817      0     494.537             0    1        0        1        1        1          20             0 
       818      0      495.51             0    1        0        1        1        1          20             0 
       819      0     496.947             0    1        0        1        1        1          20             0 
       820      0     497.345             0    1        0        1        1        1          20             0 
       821      0     491.034             0    1        0        1        1        1          20             0 
       822      0     494.109             0    1        0        1        1        1          20             0 
       823      0     495.362             0    1        0        1        1        1          20             0 
       824      0     497.518             0    1        0        1        1        1          20             0 
       825      0     492.873             0    1        0        1        1        1          20             0 
       826      0     495.832             0    1        0        1        1        1          20             0 
       827      0     492.811             0    1        0        1        1        1          20             0 
       828      0     496.921             0    1        0        1        1        1          20             0 
       829      0     496.269             0    1        0        1        1        1          20             0 
       830      0         498             0    1        0        1        1        1          20             0 
       831      0     496.594             0    1        0        1        1        1          20             0 
       832      0     494.524             0    1        0        1        1        1          20             0 
       833      0     495.967             0    1        0        1        1        1          20             0 
       834      0      478.67             0    1        0        1        1        1          20             0 
       835      0     482.184             0    1        0        1        1        1          20             0 
       836      0     435.084             0    1        0        1        1        1          20             0 
       837      0     437.126             0    1        0        1        1        1          20             0 
       838      0     494.411             0    1        0        1        1        1          20             0 
       839      0     489.862             0    1        0        1        1        1          20             0 
       840      0     494.457             0    1        0        1        1        1          20             0 
       841      0     488.963             0    1        0        1        1        1          20             0 
       842      0     483.663             0    1        0        1        1        1          20             0 
       843      0     487.226             0    1        0        1        1        1          20             0 
       844      0     491.229             0    1        0        1        1        1          20             0 
       845      0     484.933             0    1        0        1        1        1          20             0 
       846      0     487.631             0    1        0        1        1        1          20             0 
       847      0     478.542             0    1        0        1        1        1          20             0 
       848      0     479.711             0    1        0        1        1        1          20             0 
       849      0     487.017             0    1        0        1        1        1          20             0 
       850      0       491.4             0    1        0        1        1        1          20             0 
       851      0       475.4             0    1        0        1        1        1          20             0 
       852      0      478.78             0    1        0        1        1        1          20             0 
       853      0     467.253             0    1        0        1        1        1          20             0 
       854      0     469.527             0    1        0        1        1        1          20             0 
       855      0     470.806             0    1        0        1        1        1          20             0 
       856      0     472.169             0    1        0        1        1        1          20             0 
       857      0     477.745             0    1        0        1        1        1          20             0 
       858      0     476.368             0    1        0        1        1        1          20             0 
       859      0     467.156             0    1        0        1        1        1          20             0 
       860      0     468.103             0    1        0        1        1        1          20             0 
       861      0     466.473             0    1        0        1        1        1          20             0 
       862      0     467.517             0    1        0        1        1        1          20             0 
       863      0     470.312             0    1        0        1        1        1          20             0 
       864      0     468.721             0    1        0        1        1        1          20             0 
       865      0      469.12             0    1        0        1        1        1          20             0 
       866      0     466.954             0    1        0        1        1        1          20             0 
       867      0     467.528             0    1        0        1        1        1          20             0 
       868      0     466.589             0    1        0        1        1        1          20             0 
       869      0      463.52             0    1        0        1        1        1          20             0 
       870      0      463.19             0    1        0        1        1        1          20             0 
       871      0     462.604             0    1        0        1        1        1          20             0 
       872      0     462.807             0    1        0        1        1        1          20             0 
       873      0     460.244             0    1        0        1        1        1          20             0 
       874      0      460.47             0    1        0        1        1        1          20             0 
       875      0     462.038             0    1        0        1        1        1          20             0 
       876      0     462.186             0    1        0        1        1        1          20             0 
       877      0     458.034             0    1        0        1        1        1          20             0 
       878      0     460.452             0    1        0        1        1        1          20             0 
       879      0     458.294             0    1        0        1        1        1          20             0 
       880      0     458.466             0    1        0        1        1        1          20             0 
       881      0     456.315             0    1        0        1        1        1          20             0 
