 FileVersion=0003


       Time         hAtm       hRoot     hKode3     hKode1      hSeep     hKode5     hKode6     hKode7     hKode8     hKode9 ... 
       [T]          [L]         [L]        [L]        [L]        [L]        [L]        [L]       [L]        [L]        [L]

        8.2069      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
        8.3103      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
        8.4137      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
        8.5172      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
        8.6206      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
        8.7240      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
        8.8275      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
        8.9309      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
        9.0344      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
        9.1378      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
        9.2412      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
        9.3447      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
        9.4481      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
        9.5515      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
        9.6550      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
        9.7584      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
        9.8618      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
        9.9309      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       10.0000      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       10.1034      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       10.2069      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       10.3103      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       10.4137      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       10.5172      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       10.6206      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       10.7240      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       10.8275      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       10.9309      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       11.0344      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       11.1378      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       11.2412      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       11.3447      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       11.4481      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       11.5515      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       11.6550      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       11.7584      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       11.8618      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       11.9309      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       12.0000      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
