 Welcome to HYDRUS                                                       
 
 Program HYDRUS2
 Date:  22. 7.2019    Time:  20:28:35
 Time independent boundary conditions
 Vertical plane flow, V = L*L
 Units: L = m    , T = days , M = mg   
 

 Boundary length [L] associated with different types of boundary conditions

 Constant head or flux boundary:   0.7350000E+02
 Free or deep drainage boundary:   0.7350000E+02


 Time:            2.0000

    i      n      x        z    Code       Q            v           h        th      Temp  Conc(1-NS)   Qc(1-NS)
                 [L]      [L]            [V/T]        [L/T]        [L]      [-]       [C]    [M/L3]    [VM/T.L3]

   42     43     31.5     50.0    1  0.28261E+00 -0.37681E+00       4.50  0.430     20.00  0.7805E+04  0.7065E+04
   43     44     32.2     50.0    1  0.28262E+00 -0.37682E+00       4.50  0.430     20.00  0.7805E+04  0.7065E+04
   44     45     33.0     50.0    1  0.28262E+00 -0.37683E+00       4.50  0.430     20.00  0.7806E+04  0.7066E+04
   45     46     33.8     50.0    1  0.28263E+00 -0.37684E+00       4.50  0.430     20.00  0.7806E+04  0.7066E+04
   46     47     34.5     50.0    1  0.28264E+00 -0.37685E+00       4.50  0.430     20.00  0.7806E+04  0.7066E+04
   47     48     35.2     50.0    1  0.28264E+00 -0.37685E+00       4.50  0.430     20.00  0.7806E+04  0.7066E+04
   48     49     36.0     50.0    1  0.28264E+00 -0.37686E+00       4.50  0.430     20.00  0.7806E+04  0.7066E+04
   49     50     36.8     50.0    1  0.28264E+00 -0.37686E+00       4.50  0.430     20.00  0.7806E+04  0.7066E+04
   50     51     37.5     50.0    1  0.28264E+00 -0.37686E+00       4.50  0.430     20.00  0.7806E+04  0.7066E+04
   51     52     38.2     50.0    1  0.28264E+00 -0.37686E+00       4.50  0.430     20.00  0.7806E+04  0.7066E+04
   52     53     39.0     50.0    1  0.28264E+00 -0.37686E+00       4.50  0.430     20.00  0.7806E+04  0.7066E+04
   53     54     39.8     50.0    1  0.28264E+00 -0.37685E+00       4.50  0.430     20.00  0.7805E+04  0.7066E+04
   54     55     40.5     50.0    1  0.28264E+00 -0.37685E+00       4.50  0.430     20.00  0.7805E+04  0.7066E+04
   55     56     41.2     50.0    1  0.28263E+00 -0.37684E+00       4.50  0.430     20.00  0.7805E+04  0.7066E+04
