variable,start,stop,step,default
Bulk_d,1.3,2.3,0.00024,0.03
DisperL,0.01,2,0.0606,5
DisperT,0.01,0.2,0.0101,1
DifW,1.2,2,0.00145,108
SnkL1,0.05,0.15,0.004848,0.25
Conc,0.01,50000,504,25
h,3.5,5.5,0.8181,41.5
ths,0.2,0.6,0.8181,41.5
Ks,0.27,0.5,0.8181,41.5
l,0.4,0.6,0.8181,41.5
